event_date,category,events
20201206,desktop,24229
20201228,desktop,19791
20201121,desktop,23865
20201121,mobile,16708
20210128,mobile,17367
20201124,desktop,35717
20201201,mobile,28010
20201204,mobile,27022
20201115,mobile,13119
20201115,tablet,759
20210116,mobile,12968
20201219,desktop,20949
20201225,desktop,11436
20201225,mobile,9483
20201214,mobile,27777
20201122,desktop,21785
20201122,tablet,536
20210105,desktop,24866
20201117,mobile,25282
20201221,tablet,1484
20201113,desktop,30015
20201203,tablet,2106
20210113,mobile,18319
20201213,desktop,27761
20201205,mobile,19019
20201223,desktop,22167
20201118,mobile,23003
20201107,mobile,14085
20201207,desktop,43299
20201125,tablet,1437
20201209,desktop,48141
20201116,desktop,28013
20201228,mobile,12159
20210107,tablet,1402
20210102,desktop,14771
20210102,mobile,8227
20201218,desktop,32809
20210111,mobile,15790
20201229,mobile,13152
20201224,desktop,14751
20201224,tablet,929
20201219,tablet,545
20201227,mobile,8984
20201114,tablet,700
20210119,mobile,20039
20210108,tablet,975
20201109,desktop,25333
20210106,mobile,20559
20210118,tablet,628
20201111,tablet,1250
20210104,tablet,870
20201226,tablet,341
20210105,tablet,835
20201222,mobile,18431
20210130,tablet,609
20210125,desktop,24178
20201213,mobile,18567
20210129,mobile,16223
20210129,tablet,941
20201215,desktop,42842
20201210,mobile,30587
20210120,desktop,38122
20210120,tablet,1053
20201121,tablet,1407
20210128,desktop,24864
20210114,desktop,27076
20210114,mobile,17818
20201126,desktop,32120
20201126,tablet,1365
20201120,desktop,30697
20210111,desktop,21509
20201102,mobile,18316
20201102,desktop,29341
20201204,tablet,1036
20201229,desktop,20019
20201229,tablet,804
20201231,tablet,698
20201224,mobile,10459
20210116,desktop,16566
20201227,desktop,12926
20201103,mobile,24391
20210108,desktop,24052
20210101,desktop,13477
20201122,mobile,14125
20201123,desktop,31312
20210110,tablet,686
20201217,tablet,1037
20201113,mobile,18465
20201119,desktop,32471
20201106,desktop,26856
20210113,tablet,748
20201118,tablet,1418
20210129,desktop,23713
20201206,mobile,17723
20210126,desktop,24344
20201116,mobile,20339
20201228,tablet,626
20201110,tablet,650
20210128,tablet,900
20201124,mobile,25706
20210102,tablet,601
20201201,desktop,42156
20201201,tablet,1638
20201218,mobile,22821
20201102,tablet,731
20201115,desktop,17317
20210115,mobile,16626
20201230,desktop,16739
20201114,desktop,20553
20210131,tablet,626
20210103,desktop,14404
20201109,tablet,610
20201214,desktop,36465
20201214,tablet,1840
20201111,desktop,29874
20201105,tablet,1264
20201202,desktop,38985
20210112,mobile,19008
20201216,mobile,26133
20210109,tablet,547
20201217,desktop,37075
20201221,desktop,24580
20201128,mobile,18099
20201128,tablet,1235
20201203,mobile,27493
20201119,tablet,1681
20210125,tablet,903
20201205,tablet,751
20201206,tablet,876
20201116,tablet,968
20201110,mobile,20817
20201110,desktop,29728
20210107,mobile,17335
20201126,mobile,21196
20201120,tablet,777
20210124,tablet,737
20201130,tablet,1119
20201103,desktop,36151
20201225,tablet,436
20201101,mobile,12553
20210122,tablet,1018
20201105,mobile,23459
20210105,mobile,17126
20210112,desktop,28225
20201216,desktop,40022
20210109,mobile,12883
20201222,tablet,1076
20201128,desktop,25309
20201112,desktop,29227
20201113,tablet,1878
20210123,desktop,20002
20201203,desktop,42090
20210113,desktop,26474
20201213,tablet,558
20201212,mobile,21702
20201212,desktop,33788
20210127,desktop,27142
20210127,tablet,950
20201129,desktop,24461
20201127,desktop,32426
20201104,mobile,19992
20210121,mobile,20027
20201215,mobile,27953
20201215,tablet,1979
20201125,mobile,25870
20201211,mobile,29604
20201211,tablet,1345
20201209,tablet,2078
20201220,tablet,378
20210114,tablet,791
20210115,tablet,860
20201231,mobile,8888
20201130,mobile,27550
20210119,desktop,28982
20210119,tablet,1453
20210108,mobile,16174
20210106,desktop,34338
20210106,tablet,1179
20210118,mobile,13438
20201105,desktop,27229
20201226,mobile,9179
20201202,mobile,26245
20201108,tablet,429
20201216,tablet,1342
20210110,desktop,15252
20210109,desktop,18200
20201117,desktop,33105
20201117,tablet,1402
20201217,mobile,25775
20210123,mobile,13155
20201223,mobile,17155
20201212,tablet,656
20210127,mobile,20573
20201107,desktop,19745
20201207,tablet,835
20201211,desktop,44831
20210126,mobile,16949
20201124,tablet,1548
20201120,mobile,26420
20210124,mobile,11959
20201130,desktop,41945
20201230,tablet,682
20201219,mobile,15848
20201227,tablet,586
20210131,mobile,10624
20210131,desktop,15239
20210118,desktop,18292
20201111,mobile,20817
20210122,desktop,29630
20210104,desktop,18235
20201108,mobile,11851
20210110,mobile,11491
20210117,desktop,16266
20210117,mobile,10071
20201222,desktop,25012
20201112,tablet,559
20201119,mobile,19780
20210125,mobile,16637
20201106,tablet,860
20201223,tablet,718
20201107,tablet,479
20201207,mobile,27498
20201104,desktop,30462
20210121,tablet,1100
20201125,desktop,37162
20201220,mobile,12260
20210111,tablet,845
20201204,desktop,41335
20201230,mobile,12641
20201114,mobile,12786
20201103,tablet,1130
20210103,mobile,10044
20210103,tablet,295
20201109,mobile,18813
20210101,mobile,8152
20210101,tablet,467
20201101,desktop,18223
20201123,mobile,20063
20201123,tablet,1469
20201226,desktop,12601
20210112,tablet,1265
20201221,mobile,16559
20201112,mobile,19380
20210130,desktop,18600
20210130,mobile,11186
20201106,mobile,21288
20201205,desktop,29758
20201127,tablet,1931
20201104,tablet,1412
20201208,desktop,55010
20201208,mobile,35086
20210121,desktop,31559
20201209,mobile,32096
20210126,tablet,939
20201220,desktop,17433
20210107,desktop,25736
20201218,tablet,1112
20210124,desktop,19006
20210115,desktop,22919
20201231,desktop,14951
20210116,tablet,727
20201101,tablet,496
20210122,mobile,19274
20210104,mobile,12290
20201202,tablet,1602
20201108,desktop,17857
20210117,tablet,727
20210123,tablet,1165
20201118,desktop,31035
20201129,mobile,16324
20201129,tablet,1384
20201127,mobile,19897
20201208,tablet,2103
20201210,desktop,49006
20201210,tablet,1262
20210120,mobile,24934
