event_date,title,n
20210106,Home,7023
20201208,Home,5817
20201103,Home,4569
20201209,Home,4554
20210120,Home,4390
20210107,Home,4146
20210112,Home,4116
20201207,Home,4039
20201210,Home,4012
20210105,Home,3977
20201201,Home,3786
20210113,Home,3745
20210127,Home,3674
20201203,Home,3645
20210119,Home,3637
20201211,Home,3582
20201202,Home,3549
20210121,Home,3542
20201215,Home,3517
20201104,Home,3494
20210114,Home,3479
20201216,Home,3461
20210108,Home,3452
20210126,Home,3375
20201130,Home,3363
20210122,Home,3345
20210128,Home,3343
20201204,Home,3313
20210129,Home,3285
20210125,Home,3276
20201125,Home,3251
20210111,Home,3240
20201117,Home,3151
20201120,Home,3101
20201214,Home,3061
20201105,Home,3045
20201124,Home,3027
20201126,Home,3026
20210115,Home,3025
20201119,Home,3002
20201118,Home,2984
20201217,Home,2982
20201102,Home,2976
20201123,Home,2916
20201110,Home,2787
20201127,Home,2770
20201106,Home,2710
20201111,Home,2657
20201212,Home,2616
20210123,Home,2587
20201109,Home,2578
20201112,Home,2505
20201205,Home,2504
20201116,Home,2496
20210118,Home,2479
20201113,Home,2475
20201229,Home,2420
20210109,Home,2402
20210130,Home,2387
20210124,Home,2366
20201121,Home,2276
20210104,Home,2252
20201218,Home,2245
20201206,Home,2220
20210116,Home,2177
20201213,Home,2156
20201128,Home,2133
20201230,Home,2127
20210110,Home,2123
20210131,Home,2074
20201130,Shopping Cart,2057
20201129,Home,2021
20210117,Home,1999
20210114,Google Online Store,1999
20210113,Google Online Store,1935
20201122,Home,1930
20210127,Google Online Store,1927
20201208,Shopping Cart,1855
20210112,Google Online Store,1849
20201228,Home,1811
20210128,Google Online Store,1805
20201125,Shopping Cart,1785
20201107,Home,1774
20210105,Google Online Store,1766
20210120,Google Online Store,1764
20201222,Home,1753
20210106,Google Online Store,1750
20210118,Google Online Store,1748
20201211,Shopping Cart,1727
20201223,Home,1727
20201221,Home,1720
20201210,Shopping Cart,1710
20210119,Google Online Store,1700
20201209,Shopping Cart,1689
20201114,Home,1686
20210103,Home,1682
20210111,Google Online Store,1680
20201201,Shopping Cart,1680
20210107,Google Online Store,1679
20201231,Home,1675
20210102,Home,1671
20210126,Google Online Store,1647
20210108,Google Online Store,1639
20210121,Google Online Store,1626
20201108,Home,1614
20201124,Shopping Cart,1598
20201215,Shopping Cart,1584
20201115,Home,1581
20210129,Google Online Store,1546
20210120,Shopping Cart,1535
20210115,Google Online Store,1533
20201219,Home,1518
20210122,Google Online Store,1517
20201204,Shopping Cart,1515
20210125,Google Online Store,1500
20201101,Home,1483
20210101,Home,1482
20210121,Shopping Cart,1471
20210113,Apparel | Google Merchandise Store,1466
20210122,Apparel | Google Merchandise Store,1432
20210104,Google Online Store,1402
