event_date,item_id,item_name,item_brand,item_category,price_in_usd,quantity,item_revenue_in_usd
20201111,9200199,Google Bear Baby Blanket Beige,Google,Shop by Brand,19,2,38
20201111,9196971,Google NYC Campus Sticker,Google,Campus Collection,1,1,1
20201111,9196966,Google NYC Campus Zip Hoodie,Google,Campus Collection,32,1,32
20201111,9199084,Google Land & Sea Journal Set,Google,Google,12,1,12
20201111,9196766,Google Men's Tech Fleece Grey,Google,Apparel,71,1,71
20201111,9200199,Google Bear Baby Blanket Beige,Google,Shop by Brand,19,2,38
20201111,9196614,Google Crewneck Sweatshirt Green,Google,Apparel,44,1,44
20201111,9197380,Google LA Campus Unisex Tee,Google,Clearance,14,1,14
20201111,9197981,Google Mountain View Campus Zip Hoodie,Google,Campus Collection,32,1,32
20201111,9195245,Google Infant Charcoal Onesie,Google,Apparel,20,1,20
20201111,9195712,YouTube Leather Strap Hat Black,YouTube,Apparel,10,1,10
20201111,9196722,Google Women's Tech Fleece Vest Charcoal,Google,Apparel,55,1,55
20201111,9200199,Google Bear Baby Blanket Beige,Google,Shop by Brand,19,1,19
20201111,9196390,Supernatural Paper Tote,Google,Bags,22,1,22
20201111,9196616,Google Crewneck Sweatshirt Green,Google,Apparel,44,1,44
20201111,9197400,Google LA Campus Mug,Google,,7,3,20
20201111,9197951,Google Sunnyvale Campus Mug,Google,Campus Collection,7,1,7
20201111,9196603,Google Badge Heavyweight Pullover Black,Google,Apparel,46,1,46
20201111,9196875,Google KeepCup,Google,New,28,1,28
20201111,9181151,Gift Card - $50.00,,Gift Cards,50,1,50
20201111,9196727,Google Woodtop Bottle Black,Google,New,30,1,30
20201111,9196383,Google Mural Bottle,Google,,24,2,48
20201111,9196630,Google Navy Speckled Tee,Google,Apparel,24,1,24
20201111,9195881,Unisex Google Pocket Tee Grey,Google,Apparel,16,1,16
20201111,9199224,Google Land & Sea Nalgene Water Bottle,Google,Drinkware,20,1,20
20201111,9199131,Super G Unisex Joggers,Google,Shop by Brand,30,1,30
20201111,9196383,Google Mural Bottle,Google,Drinkware,19,1,19
20201111,9196868,Stainless Straight Straw/Cleaner,Google,New,3,1,3
20201111,9195927,Google Blue Kids Sunglasses,Google,Accessories,4,3,12
20201111,9195966,Google Clear Framed Yellow Shades,Google,Accessories,3,3,8
20201111,9199131,Super G Unisex Joggers,Google,Shop by Brand,30,1,30
20201111,9195032,Google Camp Mug Ivory,Google,Drinkware,10,1,10
20201111,9195195,Google F/C Longsleeve Charcoal,Google,Apparel,30,1,30
20201111,9197978,Google Mountain View Campus Zip Hoodie,Google,Campus Collection,41,1,41
20201111,9188310,Android SM S/F18 Sticker Sheet,Android,Accessories,2,4,8
20201111,9195742,Google Dino Game Tee,Google,Apparel,40,1,40
20201111,9199131,Super G Unisex Joggers,Google,Shop by Brand,37,1,37
20201111,9195881,Unisex Google Pocket Tee Grey,Google,Apparel,20,1,20
20201111,9195709,Google Leather Strap Hat Blue,Google,Apparel,17,1,17
20201111,9196652,Google Heathered Pom Beanie,Google,New,15,1,15
20201111,9195830,Google Glass Bottle,Google,Lifestyle,18,1,18
20201111,9196926,Google Cambridge Campus Unisex Tee,Google,Campus Collection,14,1,14
20201111,9196737,Google Felt Refillable Journal,Google,Clearance,16,1,16
20201111,9196862,Google Black Cork Journal,Google,New,10,1,10
20201111,9196871,Google Tech Taco,Google,New,3,2,6
20201111,9196845,Android Iconic Sticker Sheet,Android,New,3,1,3
