event_date,medium,sessions
20210106,,5051
20201208,,4486
20210120,,3913
20210121,,3903
20210127,,3850
20210107,,3750
20210112,,3743
20210113,,3667
20210105,,3640
20210128,,3551
20201103,,3466
20210114,,3456
20210122,,3430
20210126,,3426
20201209,,3415
20210108,,3381
20210119,,3324
20210125,,3273
20210111,,3158
20210129,,3152
20210115,,3115
20201210,,3059
20201207,,2956
20201203,,2861
20201211,,2861
20201215,,2851
20210118,,2836
20201216,,2826
20201217,,2720
20201201,,2663
20210104,,2661
20201229,,2641
20201202,,2636
20210123,,2626
20210109,,2599
20201230,,2532
20210116,,2525
20201214,,2513
20201125,,2506
20201130,,2495
20201104,,2491
20210124,,2488
20201218,,2441
20210130,,2425
20201204,,2410
20210110,,2386
20210131,,2357
20201124,,2347
20210117,,2346
20201126,,2288
20201119,,2245
20210103,,2241
20201118,,2227
20201212,,2227
20201208,referral,2219
20201120,,2197
20201117,,2182
20210102,,2165
20201127,,2148
20201123,,2130
20201102,,2093
20201228,,2052
20201231,,2040
20201105,,2032
20201221,,2007
20201110,,2007
20201213,,1978
20201111,,1977
20201112,,1937
20201222,,1924
20201210,referral,1867
20201219,,1863
20201209,referral,1848
20201116,,1847
20201128,,1846
20201121,,1842
20201129,,1830
20210101,,1828
20201113,,1800
20201223,,1785
20201205,,1773
20201203,referral,1763
20210127,organic,1761
20201106,,1740
20201215,referral,1732
20210122,organic,1725
20201201,referral,1719
20201220,,1709
20201206,,1703
20201109,,1703
20201211,referral,1701
20210126,organic,1693
20201207,referral,1687
20210128,organic,1684
20201202,referral,1662
20201208,organic,1658
20201217,referral,1651
20201209,organic,1643
20201216,referral,1642
20210125,organic,1637
20201210,organic,1618
20201215,organic,1615
20201204,referral,1592
20210129,organic,1590
20201124,referral,1590
20201103,referral,1548
20201211,organic,1547
20201216,organic,1538
20201217,organic,1538
20201125,referral,1528
20201226,,1519
20201101,,1516
20201218,referral,1515
20201130,referral,1512
20201224,,1507
20201214,organic,1498
20201225,,1491
20201120,referral,1482
20201117,referral,1478
20201227,,1470
20201122,,1463
20201118,referral,1462
20201214,referral,1450
20201119,referral,1443
20201203,organic,1430
20201110,referral,1427
20201218,organic,1386
20201207,organic,1364
20201111,referral,1357
20210121,organic,1355
20201105,referral,1342
20201123,referral,1338
20201104,referral,1310
20201112,referral,1307
20210123,organic,1304
20201201,organic,1300
20201114,,1295
20201127,referral,1286
20201221,referral,1277
20201204,organic,1269
20201116,referral,1260
20201222,referral,1257
20210112,organic,1255
20201126,referral,1249
20201202,organic,1230
20201124,organic,1227
20210124,organic,1213
20201113,referral,1206
20201130,organic,1198
20201102,referral,1196
20201212,organic,1193
20201119,organic,1187
20201107,,1185
20210130,organic,1171
20201108,,1166
20201115,,1155
20201106,referral,1155
20201118,organic,1152
20201125,organic,1143
20201120,organic,1142
20210113,organic,1138
20201212,referral,1127
20210131,organic,1126
20210114,organic,1118
20201117,organic,1117
20210107,organic,1116
20201109,referral,1109
20201213,organic,1097
20201126,organic,1096
20210120,organic,1091
20201206,referral,1087
20201222,organic,1086
20201123,organic,1086
20201205,referral,1080
20201127,organic,1077
20201221,organic,1075
20210106,organic,1074
20210108,organic,1070
20210115,organic,1067
20201128,referral,1057
20201223,referral,1053
20201111,organic,1051
20201121,referral,1048
20210105,organic,1048
20210119,organic,1044
20201110,organic,1038
20210111,organic,1015
20201219,referral,1005
20201105,organic,1003
20201213,referral,997
20201219,organic,996
20201112,organic,990
20201104,organic,978
20210118,organic,975
20201116,organic,969
20201223,organic,959
20201129,referral,952
20201205,organic,945
20201103,organic,932
20201206,organic,895
20201229,organic,892
20201128,organic,888
20201113,organic,886
20201109,organic,880
20201220,referral,879
20201220,organic,873
20201106,organic,868
20201102,organic,863
20201122,referral,856
20210104,organic,851
20201228,organic,846
20210109,organic,845
20201114,referral,834
20201121,organic,827
20201129,organic,824
20210116,organic,803
20201230,organic,799
20201208,(none),778
20210117,organic,771
20210110,organic,771
20201107,referral,757
20201108,referral,748
20201224,organic,746
20201227,organic,746
20201101,referral,735
20210102,organic,719
20201122,organic,713
20201226,organic,712
20201225,organic,710
20201115,referral,703
20201210,(none),683
20210103,organic,678
20201231,organic,676
20201209,(none),666
20201224,referral,666
20201228,referral,664
20201207,(none),660
20201216,(none),646
20201114,organic,641
20201215,(none),638
20201217,(none),629
20201214,(none),624
20201211,(none),613
20201218,(none),604
20201203,(none),600
20201204,(none),594
20201101,organic,592
20201201,(none),592
20201107,organic,586
20201115,organic,580
20201227,referral,574
20210101,organic,569
20201202,(none),566
20210125,referral,559
20201108,organic,556
20210127,referral,555
20210128,referral,547
20201226,referral,546
20201208,<Other>,544
20210126,referral,535
20201225,referral,529
20210106,(none),521
20201120,(none),521
20210114,(none),506
20201124,(none),506
20201125,(none),505
20201105,(none),505
20201126,(none),504
20201130,(none),504
20201123,(none),501
20201127,(none),497
20210129,referral,495
20201119,(none),495
20201117,(none),493
20201103,(none),493
20210112,(none),490
20210112,referral,488
20201210,<Other>,488
20201118,(none),487
20210122,referral,486
20201205,(none),484
20201215,<Other>,478
20210113,(none),478
20210113,referral,477
20201221,(none),472
20201209,<Other>,467
20210114,referral,465
20201112,(none),460
20201104,(none),457
20201222,(none),455
20210107,(none),454
20210121,referral,453
20210119,referral,453
20201207,<Other>,452
20210120,(none),450
20201219,(none),449
20210108,(none),445
20201110,(none),444
20201211,<Other>,442
20210106,referral,439
20210108,referral,439
20201201,<Other>,438
20201217,<Other>,438
20201212,(none),434
20201113,(none),425
20210105,(none),425
20201128,(none),425
20201216,<Other>,423
20201106,(none),423
20201116,(none),422
20201102,(none),419
20210115,(none),419
20210111,(none),413
20201206,(none),413
20210120,referral,411
20201213,(none),406
20210119,(none),404
20201214,<Other>,401
20201129,(none),398
20201203,<Other>,397
20201109,(none),397
20201218,<Other>,390
20210111,referral,390
20210115,referral,389
20210107,referral,387
20201127,<Other>,386
20201111,(none),384
20201202,<Other>,381
20210104,(none),379
20210105,referral,376
20210124,referral,374
20201223,(none),374
20201204,<Other>,374
20201130,<Other>,369
20201228,(none),368
20210118,(none),367
20201220,(none),366
20201122,(none),365
20201121,(none),364
20210112,<Other>,363
20201125,<Other>,363
20210106,<Other>,358
20210123,referral,358
20201104,<Other>,356
20201116,<Other>,353
20201103,<Other>,352
20201117,<Other>,351
20201229,(none),350
20210130,referral,348
20201126,<Other>,347
20201230,referral,347
20201124,<Other>,346
20201110,<Other>,345
20210118,referral,342
20210116,(none),339
20210113,<Other>,339
20201101,(none),338
20201230,(none),337
20201212,<Other>,337
20201221,<Other>,333
20201222,<Other>,333
20210120,<Other>,333
20201111,<Other>,328
20201119,<Other>,324
20201205,<Other>,324
20201107,(none),323
20201123,<Other>,322
20201206,<Other>,317
20201102,<Other>,317
20210119,<Other>,315
20210131,referral,314
20201115,(none),313
20201229,referral,312
20210104,referral,312
20210105,<Other>,312
20210117,(none),311
20210109,(none),310
20210116,referral,309
20201112,<Other>,309
20210110,(none),308
20201120,<Other>,308
20201105,<Other>,308
20210111,<Other>,306
20210107,<Other>,305
20201224,(none),303
20201118,<Other>,303
20210117,referral,297
20210114,<Other>,297
20201113,<Other>,295
20210108,<Other>,295
20201223,<Other>,294
20201128,<Other>,294
20210115,<Other>,290
20201231,(none),289
20201226,(none),288
20201109,<Other>,288
20201129,<Other>,285
20201219,<Other>,282
20210118,<Other>,281
20201213,<Other>,280
20210109,referral,279
20201108,(none),276
20201106,<Other>,276
20201114,(none),274
20201121,<Other>,270
20201227,(none),270
20210104,<Other>,266
20201220,<Other>,265
20210102,(none),260
20210103,(none),260
20210121,(none),255
20210101,(none),245
20201228,<Other>,245
20210103,referral,244
20210110,referral,243
20201229,<Other>,238
20210116,<Other>,237
20201225,(none),236
20201114,<Other>,231
20201224,<Other>,228
20210102,referral,224
20210109,<Other>,220
20210110,<Other>,218
20201122,<Other>,216
20201231,referral,215
20210103,<Other>,214
20201101,<Other>,212
20201107,<Other>,209
20201108,<Other>,209
20201115,<Other>,203
20210121,<Other>,202
20210117,<Other>,198
20210102,<Other>,197
20201230,<Other>,195
20210101,referral,191
20201227,<Other>,188
20201226,<Other>,185
20201231,<Other>,178
20210101,<Other>,169
20201215,cpc,166
20201211,cpc,158
20201225,<Other>,157
20201210,cpc,156
20201208,cpc,147
20201207,cpc,144
20201217,cpc,140
20201216,cpc,139
20201204,cpc,132
20201130,cpc,131
20201209,cpc,129
20201202,cpc,129
20201203,cpc,129
20201214,cpc,125
20201127,cpc,124
20201201,cpc,124
20201111,cpc,122
20210113,cpc,121
20201125,cpc,117
20201205,cpc,113
20201103,cpc,112
20201124,cpc,108
20210106,cpc,106
20210112,cpc,105
20201102,cpc,105
20210114,cpc,105
20201218,cpc,104
20201120,cpc,104
20201110,cpc,103
20201105,cpc,103
20201105,(data deleted),102
20201222,cpc,98
